"Severity","Category","File","Message","Recommendation"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\IntuneDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\IntuneDiscovery.psm1","Function 'Initialize-IntuneDiscovery' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\LicensingDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\LicensingDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\LicensingDiscovery.psm1","Function 'Write-LicensingLog' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\LicensingDiscovery.psm1","Function 'Get-FriendlyLicenseName' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\LicensingDiscovery.psm1","Function 'Get-FriendlyServicePlanName' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\LicensingDiscovery.psm1","Function 'Get-EstimatedLicensePrice' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\NetworkInfrastructureDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\NetworkInfrastructureDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\NetworkInfrastructureDiscovery.psm1","Function 'Convert-ToFlattenedNetworkData' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\SharePointDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\SharePointDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\SQLServerDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\SQLServerDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\TeamsDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\TeamsDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'Invoke-DataSourceAnalysis' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'Merge-UserProfiles' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'Merge-DeviceProfiles' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'New-RelationshipGraph' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'Get-UserPrincipalName' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'Merge-DeviceProperties' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'ConvertFrom-OperatingSystem' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'Invoke-UserEnrichment' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","Function 'Find-UserByIdentifier' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\UserProfileBuilder.psm1","Function 'New-UserProfiles' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\WaveGeneration.psm1","Function 'New-MigrationWaves' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\WaveGeneration.psm1","Function 'New-WaveObjectLocal' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\WaveGeneration.psm1","Function 'Test-WaveDependencies' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\WaveGeneration.psm1","Function 'Optimize-SharedMailboxWaves' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Export\PowerAppsExporter.psm1","Function 'Get-ProcessedDataFileFromInput' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\AuthenticationMonitoring.psm1","Function 'Test-ServiceConnectivity' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ConfigurationValidation.psm1","Function 'Test-ConfigurationNodeInternal' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\EnhancedLogging.psm1","Function 'Get-EffectiveLoggingSetting' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\EnhancedLogging.psm1","Function 'Get-LogColorInternal' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\EnhancedLogging.psm1","Function 'Get-LogEmojiInternal' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","Function 'Write-FallbackLog' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","Function 'AddErrorWithContext' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","Function 'Add-ErrorContext' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","Function 'New-EnhancedErrorRecord' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","Function 'Get-FriendlyErrorMessage' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","Function 'Write-ErrorSummary' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","Function 'Test-CriticalError' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Export-PhaseErrorReport' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Build-ComprehensiveErrorReport' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Get-ErrorAnalysis' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Get-ErrorRecommendations' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Export-ErrorReportToCsv' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Export-ErrorReportToHtml' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Export-ErrorSummaryText' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'New-ErrorSummaryReport' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Export-ErrorAnalysis' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","Function 'Get-ErrorStatistics' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReportingIntegration.psm1","Function 'Initialize-ErrorReporting' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReportingIntegration.psm1","Function 'Add-PhaseError' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReportingIntegration.psm1","Function 'Add-ModuleResult' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\FileValidation.psm1","Function 'Test-DiscoveryFileSkippable' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ModuleHelpers.psm1","Function 'Initialize-MandAModuleContext' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ModuleHelpers.psm1","Function 'Get-MandAModulePath' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ModulesHelper.psm1","Function 'Initialize-MandAModuleContext' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ModulesHelper.psm1","Function 'Get-MandAModulePath' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","Function 'Initialize-PerformanceTracking' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","Function 'Calculate-SystemMetricsDelta' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","Function 'Start-PerformanceSession' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","Function 'Stop-PerformanceSession' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","Function 'Get-PerformanceReport' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","Function 'Clear-PerformanceData' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","Function 'Get-PerformanceStatistics' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PreFlightValidation.psm1","Function 'Test-SuitePrerequisites' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","Function 'Show-SectionHeader' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","Function 'Update-TaskProgress' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","Function 'Complete-TaskProgress' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","Function 'Write-ProgressStep' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","Function 'Show-DiscoveryProgress' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","Function 'Show-ProgressBar' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","Function 'Initialize-ProgressTracker' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","Function 'Start-OperationTimer' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","Function 'Stop-OperationTimer' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","Function 'Update-StepProgress' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","Function 'Complete-ProgressTracker' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","Function 'Show-ProgressSummaryReport' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","Function 'Reset-ProgressTrackerInternal' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ValidationHelpers.psm1","Function 'Test-Prerequisites' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ValidationHelpers.psm1","Function 'Test-UPNFormat' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ValidationHelpers.psm1","Function 'Test-ConfigurationFileStructure' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ValidationHelpers.psm1","Function 'Test-ModuleAvailabilityByName' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ValidationHelpers.psm1","Function 'Test-BasicNetworkConnectivity' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ValidationHelpers.psm1","Function 'Test-DataQualitySimple' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\CredentialManagement.psm1","Function 'Write-CredentialLog' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","Function 'EndOperation' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","Function 'Test-RetryableError' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","Function 'Calculate-BackoffDelay' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","Function 'Test-DiscoveryPrerequisites' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","Function 'Get-RequiredConfiguration' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","Function 'Test-DiscoveryDataQuality' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","Function 'Get-DataValidationRules' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","Function 'Export-DiscoveryData' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Connectivity\EnhancedConnectionManager.psm1","Function 'Show-ConnectionStatus' lacks error handling","Add try-catch blocks for robust error handling"
