Name,GUID,Description,Status,CreationTime,ModificationTime,Version,LinkedTo,SecurityFiltering,WMIFiltering,ComputerSettings,UserSettings,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
Workstation Lockdown,{29A31234-4567-C567-89AB-CDEF01234567},Workstation security lockdown,Enabled,2023-10-05 10:25:00,2025-08-10 16:35:00,13,Workstations OU,Domain Computers,Client OS Filter,Registry Settings;Security Options,Administrative Templates;Start Menu,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Remote Desktop Policy,{3AB42345-5678-D678-9ABC-DEF012345678},Remote desktop configuration,Enabled,2023-11-20 14:55:00,2025-08-09 12:45:00,11,contoso.com,Remote Desktop Users,,Network Settings;Terminal Services,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Office 365 Configuration,{4BC53456-6789-E789-ABCD-EF0123456789},Office 365 settings deployment,Enabled,2024-01-15 09:30:00,2025-08-08 14:20:00,8,contoso.com,Office 365 Users,Office Install Filter,Registry Settings;Administrative Templates,Office Settings;OneDrive Config,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Backup Policy,{5CD64567-789A-F89A-BCDE-F01234567890},Backup and recovery settings,Enabled,2024-02-01 11:10:00,2025-08-07 13:15:00,6,contoso.com,Backup Operators,Server Filter,Backup Settings;Scheduled Tasks,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Mobile Device Policy,{6DE75678-89AB-089B-CDEF-012345678901},Mobile device management,Enabled,2024-03-15 15:25:00,2025-08-06 10:50:00,5,contoso.com,Domain Users,Mobile Device Filter,None,Device Settings;App Restrictions,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Legacy Application Support,{7EF86789-9ABC-189C-DEF0-123456789012},Legacy app compatibility,Enabled,2024-04-20 12:40:00,2025-08-05 15:30:00,4,Legacy Systems OU,Legacy App Users,Legacy OS Filter,Registry Settings;Compatibility Settings,Application Settings,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Windows Update Policy,{8F097890-ABCD-289D-EF01-234567890123},Centralized Windows updates,Enabled,2024-05-10 08:15:00,2025-08-04 09:25:00,7,contoso.com,Domain Computers,Windows Update Filter,Windows Update Settings;WSUS Config,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
USB Device Restriction,{90A98901-BCDE-389E-F012-345678901234},USB device access control,Enabled,2024-06-25 13:50:00,2025-08-03 11:40:00,3,Secure Workstations OU,Secure Users,High Security Filter,Device Installation Restrictions,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
PowerShell Execution Policy,{A1BA9012-CDEF-489F-0123-456789012345},PowerShell script execution control,Enabled,2024-07-05 16:20:00,2025-08-02 14:55:00,2,contoso.com,IT Administrators;Developers,PowerShell Filter,PowerShell Settings;Execution Policy,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Certificate Auto-Enrollment,{B2CB0123-DEF0-590F-1234-567890123456},Automatic certificate enrollment,Enabled,2024-08-01 10:35:00,2025-08-01 12:10:00,1,contoso.com,Authenticated Users,,Certificate Services;Auto-Enrollment,Certificate Templates,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Test Policy - Disabled,{C3DC1234-EF01-6901-2345-678901234567},Test policy for development,Disabled,2024-07-15 14:45:00,2024-07-15 14:45:00,1,Test OU,Test Users,Test Environment Filter,Test Settings,Test User Settings,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Emergency Access Policy,{D4ED2345-F012-7012-3456-789012345678},Emergency access procedures,Enabled,2024-06-01 09:00:00,2025-08-19 08:30:00,5,Emergency OU,Emergency Response Team,Emergency Filter,Emergency Access Settings,Emergency User Rights,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
GDPR Compliance Policy,{E5FE3456-0123-8123-4567-890123456789},GDPR compliance settings,Enabled,2024-05-25 11:30:00,2025-08-18 13:45:00,6,EU Users OU,EU Users,EU Regulation Filter,Privacy Settings;Data Protection,Privacy Controls;Data Rights,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Branch Office Policy,{F60F4567-1234-9234-5678-901234567890},Branch office specific settings,Enabled,2024-04-10 07:45:00,2025-08-17 16:20:00,8,Branch Offices OU,Branch Users,Branch Filter,Network Settings;Local Policies,Branch Specific Settings,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Development Environment,{071056789-2345-A345-6789-012345678901},Development team settings,Enabled,2024-03-20 13:20:00,2025-08-16 10:15:00,9,Development OU,Developers,Development Filter,Development Tools;Debug Settings,Development User Settings,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
